KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
075024-0;34404844;20;1;SUPERBEST  RØNDE;V/RENE SØNDERBY POVLSEN;HOVEDGADEN 49;DK;8410;RØNDE;86371544;5790000039425;RENE.POVLSEN@SUPERBEST.DK
146044-3;87212319;20;1;SUPERBEST FREDERIKSSUND;PRIMA SUPERM.FR.SUND APS;HAVNEGADE 9;DK;3600;FREDERIKSSUND;47312722;5790000039685;146044@superbest.dk
014301-6;66018016;20;1;SUPERBEST VANLØSE;GRØNDAL SUPERMARKED A/S;GODTHÅBSVEJ 225;DK;2720;VANLØSE;38864000;5790000039739;014301@superbest.dk
032924-3;26089115;20;8;SUPERBEST AMAGER;ISO SUPERMARKED A/S;VERMLANDSGADE 51;DK;2300;KØBENHAVN S;32638850;5790000039937;032924@superbest.dk
032894-8;26089115;20;8;SUPERBEST FRIHEDEN;ISO SUPERMARKED A/S;STRANDMARKSVEJ 20;DK;2650;HVIDOVRE;36340220;5790000039944;032894@superbest.dk
061005-5;20775149;20;1;SUPERBEST RANDERS;SUPERBEST;BREDSTRUPGADE  3;DK;8900;RANDERS C;86402466;5790000040643;061005@SUPERBEST.DK
061003-0;20775149;20;1;SUPERBEST GRENÅ;SUPERBEST V/PETER PALMBY;SØNDERGADE 7-9;DK;8500;GRENAA;86320299;5790000040650;061003@SUPERBEST.DK
061006-3;20775149;20;1;SUPERBEST SILKEBORG;SUPERBEST;CHRISTIAN D.VIII VEJ 8;DK;8600;SILKEBORG;86810111;5790000040674;061006@SUPERBEST.DK
061007-1;20775149;20;1;SUPERBEST HURUP;SUPERBEST;JERNBANEGADE 7;DK;7760;HURUP THY;97953077;5790000040711;061007@superbest.dk
075113-1;31200938;20;8;SUPERBEST SÆBY I/S;V/ C.KARLSEN & B.NIELSEN;STYGGE KRUMPENS VEJ 2;DK;9300;SÆBY;98461444;5790000040742;075113@superbest.dk
146074-0;10075211;20;1;SUPERBEST RUNGSTED KYST;SUPERSTORE RUNGSTED APS;RUNGSTED BYTORV 4;DK;2960;RUNGSTED KYST;45761089;5790000044078;146074@superbest.dk
141495-2;28131186;20;1;SUPERBEST ESPERGÆRDE;SAMEJET ESBPERGÆRDE SUPERMARKE;ESPERGÆRDE CENTRET;DK;3060;ESPERGÆRDE;49132085;5790000046683;141495@superbest.dk
045117-9;10075211;20;1;SUPERBEST HIMMELEV;RUNGSTED BYTORV  SUPERM.APS;SOGNEVEJ 95, HIMMELEV;DK;4000;ROSKILDE;46364233;5790000047345;045117@SUPERBEST.DK
075036-4;21113689;20;1;KWIK SUPERBEST HADSUND;KWIK SUPERBEST APS;HADSUNDVEJ 1, ALS;DK;9560;HADSUND;98581014;5790000048069;075036@superbest.dk
045032-0;71137619;20;1;SUPERBEST VIBY LAVPRIS;HANS OLESEN;TOFTHØJVEJ 6-8;DK;4130;VIBY SJÆLLAND;46193033;5790000048182;045032@superbest.dk
035734-3;26089115;20;8;SUPERBEST LYNGBY;ISO SUPERMARKED A/S;LYNGBY HOVEDGADE 80;DK;2800;KONGENS LYNGBY;45877847;5790000048731;035734@superbest.dk
075017-4;20799137;20;1;SB STORMARK.HADERSLEV A/S;TORBEN AREVAD;GÅSKÆRGADE 38-44;DK;6100;HADERSLEV;73520600;5790000048816;075017@superbest.dk
051116-2;26089115;20;8;SUPERBEST KORUP;KC STORKØB A/S;ÅBAKKEVEJ 69;DK;5210;ODENSE NV;65941210;5790000049400;051116@superbest.dk
075115-6;31364507;20;1;A/S SUPERBEST, SINDAL;SUPERBEST JOHNNY THOMSEN;VED BANEN SINDAL;DK;9870;SINDAL;98901455;5790000049943;JOHNNY.THOMSEN@SUPERBEST.DK
045131-0;27340415;20;1;SUPERBEST KIRKE HYLLINGE;KIRKE HYLLINGE SUPERMARKED A/S;BYGADEN 34;DK;4070;KIRKE HYLLINGE;46404100;5790000235278;MCP@BS-SUPERBEST.DK
045133-6;26089115;20;8;SUPERBEST HVIDOVRE ST.CEN;V/ RASMUS BJØRN;HVIDOVREVEJ 57;DK;2650;HVIDOVRE;36752511;5790000235629;045133@SUPERBEST.DK
045132-8;33035098;20;1;SUPERBEST I ORDRUP;ORDRUPVEJ SUPERMARKED APS;ORDRUPVEJ 60;DK;2920;CHARLOTTENLUND;39630988;5790000236619;045132@SUPERBEST.DK
045135-1;26089115;20;8;SUPERBEST BISTRUP;V/ JESPER L. CALLESEN;VASEVEJ 119 A;DK;3460;BIRKERØD;45942060;5790000237586;045135@SUPERBEST.DK
045136-9;26089115;20;8;SUPERBEST KARLSLUNDE;SUPERBEST /MORTEN F. OLSEN;KARLSLUNDE PARKVEJ 7;DK;2690;KARLSLUNDE;25303000;5790000241613;045136@SUPERBEST.DK
502016-9;0;20;2;BONUS MIDVAGUR;C/O P/F SMS;POSTBOKS 1059;FO;110;TORSHAVN, FÆRØERNE;98332400;5790000244027;UMSITING@SMS.FO
045095-7;14815279;20;1;SUPERBEST VÆRLØSE;SØREN ENGBERG SUPERMARKED A/S;BYMIDTEN 23;DK;3500;VÆRLØSE;44480004;5790000244430;SOREN.ENGBERG@SUPERBEST.DK
045137-7;26089115;20;8;SUPERBEST NÆRUM;DAGROFA DETAIL A/S;NÆRUMVÆNGE TORV 18;DK;2850;NÆRUM;45585900;5790000244690;045137@SUPERBEST.DK
045097-3;29688397;20;1;SUPERBEST ALB CENTRUM APS;HENRIK ANDERSEN;STATIONSTORVET 14;DK;2620;ALBERTSLUND;43648664;5790000248674;HENRIK.ANDERSEN@SUPERBEST.DK
032744-5;26089115;20;8;SUPERBEST KASTRUP J.BANK;ISO SUPERMARKED A/S;UGANDAVEJ 111 VESTAMAGERCENT.;DK;2770;KASTRUP;32536580;5790000256402;032744@superbest.dk
051142-8;27859453;20;8;SUPERBEST NYBORG I/S;V/JAN BØRLØV;BØJDENVEJ 3-5;DK;5800;NYBORG;63316600;5790000256440;051142@superbest.dk
146088-0;27827659;20;1;SUPERBEST RØDOVRE;MICHAEL PETERSEN;RØDOVRE CENTRUM 134;DK;2610;RØDOVRE;36411719;5790000256570;146088@superbest.dk
104653-1;52891728;20;1;DALGAARD SUPERMARKED;K.DALGAARD ANDERSEN;KONGEVEJSCENTRET 6;DK;2970;HØRSHOLM;45860122;5790000257713;104653@superbest.dk
050441-5;26089115;20;8;SUPERBEST HC ØRSTEDSVEJ;DREISLER STORKØB A/S;H.C. ØRSTEDSVEJ 5;DK;9900;FREDERIKSHAVN;99340100;5790000257775;050441@superbest.dk
050442-3;26089115;20;8;SUPERBEST HJØRRING;DREISLER STORKØB A/S;FREDERIKSHAVNSVEJ 42-48;DK;9800;HJØRRING;96241241;5790000257782;050442@superbest.dk
050447-2;26089115;20;8;SUPERBEST VIBORG;DREISLER STORKØB A/S;FABRIKVEJ 2;DK;8800;VIBORG;87275650;5790000257836;050447@superbest.dk
200216-0;26089115;20;8;SUPERBEST HOBRO;DREISLER STORKØB A/S;SDR. RINGVEJ 12;DK;9500;HOBRO;98522900;5790000258345;200216@superbest.dk
045112-0;31607027;20;1;SUPERBEST HOLBÆK;KIM ANDERSEN;MELLEMVANG 27;DK;4300;HOLBÆK;59431740;5790000258505;045112@SUPERBEST.DK
045113-8;31556198;20;1;SUPERBEST VIRUM;VIRUM SUPERMARKED I/S;GEELS PLADS 20;DK;2830;VIRUM;45950999;5790000258659;045113@SUPERBEST.DK
102928-9;0;20;8;SUPERGROS - GENNEMFAK.;ATT.:  GITTE LARSEN;MØRUPVEJ 2;DK;7400;HERNING;70100203;5790000269402;GITTE.LARSEN@SUPERGROS.DK
045138-5;26089115;20;8;SUPERBEST KBH. Ø;DREISLER STORKØB A/S;BRYGGERVANGEN 17;DK;2100;KØBENHAVN Ø;39180833;5790000269426;045138@SUPERBEST.DK
045140-1;26089115;20;8;SUPERBEST STENLØSE;DAGROFA SUPERBEST A/S;EGEDAL CENTRET 93;DK;3660;STENLØSE;70207005;5790000270064;045140@SUPERBEST.DK
075154-5;26089115;20;8;SUPERBEST  AALBORG SV;DAGROFA SUPERBEST A/S;OTTO MØNSTEDS VEJ 1;DK;9200;AALBORG SV;96346400;5790000270101;075154@SUPERBEST.DK
075151-1;26089115;20;8;SUPERBEST  AABYBRO;DAGROFA SUPERBEST A/S;AABYBROCENTRET;DK;9440;AABYBRO;98241966;5790000270125;075151@SUPERBEST.DK
045142-7;35143254;20;1;SB.ROSKILDE SKOMAGERGADE;SUPERBEST SKOMAGERGADE APS;SKOMAGERGADE 11;DK;4000;ROSKILDE;46351720;5790000609079;045142@SUPERBEST.DK
502010-2;99999999;20;2;BONUS HOYVIK;C/O P/F SMS;POSTBOKS 1059,   502010-2;FO;110;TORSHAVN, FÆRØERNE;98315263;5790000661084;UMSITING@SMS.FO
502937-6;322407;20;2;BONUS NORDSKALI;C/O P/F SMS;POSTBOKS 1059, 502937-6;FO;110;TORSHAVN FÆRØERNE;98341925;5790000661299;UMSITING@SMS.FO
031070-6;26089115;20;8;SUPERBEST SKIBBY;DREISLER STORKØB A/S;HOVEDGADEN 34;DK;4050;SKIBBY;47528022;5790000661312;031070@SUPERBEST.DK
045143-5;35239413;20;1;SUPERBEST FREDERIKSVÆRK;JDF APS.;NØRREGADE 38;DK;3300;FREDERIKSVÆRK;47720646;5790000661404;045143@SUPERBEST.DK
045144-3;35242821;20;1;SUPERBEST KASTRUP;SUPERBEST TÅRNBY APS.;TÅRNBYVEJ 51;DK;2770;KASTRUP;32511644;5790000661411;045144@SUPERBEST.DK
031071-4;35245715;20;1;SUPERBEST VALBY;SUPERBEST VIGERSLEV APS;CENTERPARKEN 34;DK;2500;VALBY;36141550;5790000661510;031071.ADM@SUPERBEST.DK
031072-2;35245642;20;1;SUPERBEST TOFTEN;SUPERBEST TOFTEN APS;GL.KØGE LANDEVEJ 6;DK;2500;VALBY;36141520;5790000661534;031072@SUPERBEST.DK
031073-0;35244751;20;1;SUPERBEST HILLERØD;A.B.T.  APS.;FREDSKOVHELLET 1 A;DK;3400;HILLERØD;48264555;5790000661589;031073@SUPERBEST.DK
050866-3;35514740;20;1;FROST SUPERBEST APS.;FROST SUPERBEST APS;SCT. MATHIAS MARKED;DK;8800;VIBORG;87251822;5790000662623;050866@SUPERBEST.DK
502941-8;99999999;20;2;MIKLAGARDUR TORSHAVN;C/O P/F SMS;POSTBOKS 1059, 502941-8;FO;110;TORSHAVN FÆRØERNE;98315262;5790000708222;UMSITING@SMS.FO
045104-7;30586654;20;1;SUPERBEST BRØNDBY STR.;KØBM. LARS NIELSEN APS.;BRØNDBY STRAND CENTER 42;DK;2660;BRØNDBY STRAND;43544111;5790000709571;045104@superbest.dk
075107-3;26089115;20;8;SUPERBEST HJALLESEVEJ;KC STORKØB A/S;HJALLESEVEJ 130-132;DK;5230;ODENSE M;66142202;5790000824106;075107@superbest.dk
045107-0;30920961;20;8;SUPERBEST BORUPS ALLE I/S;V/TORBEN CHRISTENSEN;BORUPS ALLE 126 - 130;DK;2000;FREDERIKSBERG;38885454;5790000824151;045107@superbest.dk
045069-2;25798228;20;1;HUNDESTED SUPERMARKED APS;SUPERBEST;NØRREGADE 11;DK;3390;HUNDESTED;47937979;5790000824403;045069@superbest.dk
045070-0;25734947;20;1;SUPERBEST EHLERS;METTE EHLERS;RINGSTEDVEJ 35;DK;4180;SORØ;57831355;5790000824410;045070@superbest.dk
075072-9;26024331;20;1;ØRNSKOV SUPERBEST APS;BRIAN ØRNSKOV;BLÅVANDVEJ 26;DK;6857;BLÅVAND;75279001;5790000824724;075072@superbest.dk
045073-4;21813206;20;1;EHLERS SUPERBEST;JØRGEN EHLERS;KONGEÅSEN 2;DK;4230;SKÆLSKØR;58192590;5790000824809;045073@superbest.dk
075076-0;26838622;20;1;SUPERBEST HÅNBÆK SUPER AS;HÅNBÆK SUPER A/S;RØMØVEJ 2;DK;9900;FREDERIKSHAVN;98424333;5790000825783;075076@superbest.dk
045080-9;26861268;20;1;WIKA SUPERBEST KØGE A/S;WIKA SUPERMARKED A/S P. JENSEN;GYMNASIEVEJ 29;DK;4600;KØGE;56653456;5790000825882;045080@superbest.dk
502009-4;8032092;20;2;BONUS KLAKSVIK 1;C/O P/F SMS;POSTBOKS 1059;FO;110;TORSHAVN, FÆRØERNE;98455091;5790000826100;UMSITING@SMS.FO
502012-8;99999999;20;2;BONUS TORSHAVN;C/O P/F SMS;POSTBOKS 1059,  502012-8;FO;110;TORSHAVN, FÆRØERNE;98233440;5790000826124;UMSITING@SMS.FO
502018-5;99999999;20;2;BONUS TVØROYRI;C/O P/F SMS;POSTBOKS 1059, 502018-5;FO;110;TORSHAVN, FÆRØERNE;98371155;5790000826148;UMSITING@SMS.FO
502955-8;99999999;20;2;BÓNUS SALTANGARÁ;C/O P/F SMS;POSTBOKS 1059, 502955-8;FO;110;TORSHAVN, FÆRØERNE;98448833;5790000826155;UMSITING@SMS.FO
502959-0;99999999;20;2;MYLAN 1;C/O P/F SMS;POSTBOKS 1059, 502959-0;FO;110;TORSHAVN FÆRØERNE;98314456;5790000826353;UMSITING@SMS.FO
045114-6;32715869;20;1;SUPERBEST HOLBÆK;I/S CARØ / KFI;SMEDELUNDSGADE 24;DK;4300;HOLBÆK;59430970;5790000831487;045114@SUPERBEST.DK
045116-1;32715869;20;1;SUPERBEST HOLBÆKVEJ;SUPERBEST CARØ/KFI I/S;HOLBÆKVEJ 7-11;DK;4000;ROSKILDE;46351600;5790000831869;045116@SUPERBEST.DK
502972-3;0;20;2;MYLNAN 3;C/O P/F SMS;POSTPBOX 1059, 502972-3;FO;110;TORSHAVN FÆRØERNE;98323700;5790000831944;UMSITING@SMS.FO
146063-3;25677331;20;1;SUPERBEST CHARLOTTENLUND;PRIMA JÆGERSBORG ALLE A/S;JÆGERSBORG ALLE 44;DK;2920;CHARLOTTENLUND;39450450;5790000835560;146063@superbest.dk
146075-7;21778982;20;1;SUPERBEST FREDERIKSBERG;SUPERBEST DOMUS VISTA APS.;NORDENS PLADS 12;DK;2000;FREDERIKSBERG;36303566;5790000835584;146075@superbest.dk
146081-5;26820456;20;1;SUPERBEST NÆSTVED;PRIMA ØSTERGADE 16-18 APS;ØSTERGADE 16-18;DK;4700;NÆSTVED;55722500;5790000835690;146081@superbest.dk
146082-3;26812194;20;1;SUPERBEST HASLEV;SUPERBEST HASLEV APS.;STATIONSPLADSEN 4;DK;4690;HASLEV;56312720;5790000835713;146082@superbest.dk
045110-4;31461790;20;8;SUPERBEST HELLERUP I/S;V/RASMUS VEJBÆK;STRANDVEJEN 64 A;DK;2900;HELLERUP;39451100;5790001095987;045110@superbest.dk
075116-4;31461677;20;8;SUPERBEST MAAGEBAKKEN I/S;V/  M.BRANDT OG M.OLSEN;MÅGEBAKKEN 4-6;DK;5250;ODENSE SV;66175066;5790001096021;075116@superbest.dk
452147-2;16607479;21;2;KK  ENGROS I/S;KK  ENGROS I/S;BOX 1065;GL;3900;NUUK;29932861;5790000005567; 
502150-6;0;21;2;KK ENGROS I/S;KK ENGROS I/S;BOX 1065, 502150-6;GL;3900;NUUK;29932861;5790000047079;ORDRE@KKENGROS.GL
502224-9;0;21;2;TEST GRØNLAND;BERIT JESSEN;KÆRUP INDUSTRIVEJ 12;GL;3911;SISIMIUT;29914044;5790000241040; 
502106-8;99999999;21;2;NUK-D PISIFFIK A/S;3900 NUUK, NUUK CENTER;INDKØBSAFD. BOX 480, 502106-8;GL;3911;SISIMIUT;29914044;5790000608553;UK@PISIFFIK.GL
502131-6;99999999;21;2;PISIFFIK A/S;3905 NUUSSUAQ, NÆRBUTIK;INDKØBSAFD. BOX 480, 502131-6;GL;3911;SISIMIUT;10000004;5790000608577; 
502130-8;99999999;21;2;PISIFFIK A/S;NUUK CENTER;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;10000004;5790000608584; 
502145-6;99999999;21;2;PISIFFIK A/S BOX 94;BAGERI, 3911 SISIMIUT;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;29914044;5790000608607; 
502108-4;99999999;21;2;SIS-D PISIFFIK A/S;3911 SISIMIUT;INDKØBSAFD. BOX 480, 502108-4;GL;3911;SISIMIUT;29914044;5790000608614;FOODORDRE@PISIFFIK.GL
502144-9;99999999;21;2;PISIFFIK A/S BOX 61;BAGERI, 3900 NUUK;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;10000004;5790000608638; 
502125-8;99999999;21;2;MAN-D PISIFFIK A/S;3912 MANIITSOQ;INDKØBSAFD. BOX 480, 502125-8;GL;3911;SISIMIUT;29914044;5790000608652;FOODORDRE@PISIFFIK.GL
502126-6;99999999;21;2;QAQ-D PISIFFIK A/S;3920 QAQORTOQ;INDKØBSAFD. BOX 480, 502126-6;GL;3911;SISIMIUT;29914044;5790000608690;FOODORDRE@PISIFFIK.GL
502139-9;99999999;21;2;PISIFFIK A/S BOX 501;BAGERI, 3920 QAQORTOQ;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;29914044;5790000608713; 
502127-4;99999999;21;2;AAS-D PISIFFIK A/S;3950 AASIAAT, HOVEDFORRETNING;INDKØBSAFD. BOX 480, 502127-4;GL;3911;SISIMIUT;29914044;5790000608775;FOODORDRE@PISIFFIK.GL
502141-5;99999999;21;2;PISIFFIK A/S BOX 218;BAGERI, 3950 AASIAAT;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;10000004;5790000608805; 
502109-2;99999999;21;2;ILU-D PISIFFIK A/S;3952 ILULISSAT;INDKØBSAFD. BOX 480, 502109-2;GL;3911;SISIMIUT;29914044;5790000608836;FOODORDRE@PISIFFIK.GL
502143-1;99999999;21;2;PISIFFIK A/S BOX 108;BAGERI, 3952 ILULISSAT;INDKØBSAFD. BOX 480;GL;3911;SISIMIUT;29914044;5790000608850; 
502107-6;99999999;21;2;SPARKØB APS (PISIFFIK A/S;POSTBOKS 968, 3900  NUUK;INDKØBSAFDELINGEN,BOX 480;GL;3911;SISIMIUT;324865;5790000609024; 
041499-5;24260313;24;0;L.I.C HERLEV;LÆRERNES INDKØBSCENTRAL;TURBINEVEJ 9;DK;2730;HERLEV;44854642;5790000608140;CJ@LIC.DK.
071499-8;24260313;24;0;L.I.C. SKEJBY;LÆRERNES INDKØBSCENTRAL;JENS OLESENSVEJ 9, SKEJBY;DK;8200;ÅRHUS N;87413500;5790000608157;KF@LIC.DK
047645-7;58191213;25;5;MAGASIN KGS. NYTORV;MAGASIN MAD & VIN AFD.103;KONGENS NYTORV 13;DK;1095;KØBENHAVN K;33114433;5790000014453;HUSSEIN.HAIDAR@MAGASIN.DK
213296-7;52687411;25;7;KØBMAND;HAGEBRO KØBMANDSFOR. APS;HOLSTEBROVEJ  HAGEBRO 286;DK;7800;SKIVE;97452026;5790000026616;MIE.NIELSEN@GMAIL.COM
047643-2;58191213;25;5;MAGASIN KGS. NYTORV;MAGASIN - ( TOBAK );KONGENS NYTORV 13;DK;1095;KØBENHAVN K;33114433;5790000239238; 
852433-2;30496485;25;7;FINE FOOD-INT.DELICATESSE;WORLD OF DELIGHTS COPENHAGEN;TERMINAL 2  - KØBENHAVNS LUFTH;DK;2770;KASTRUP;40441550;5790000245529;C.COLBERG@WORLDOFDELIGHTS.COM
202213-5;20126442;25;7;WINTHER;WINTHER A/S KARL C. LUNDEN;HJØRRINGGADE 5;DK;9850;HIRTSHALS;98941611;5790000608010;EVA@SLAGTERWINTHER.DK
050052-0;20932635;25;6;RÆKKE MØLLE KØBMAND;RIKKE LINDBORG LAURIDSEN;SØVEJEN 3;DK;6900;SKJERN;29721838;5790000661466;R_LINDEBORG@HOTMAIL.COM
851961-3;79447013;25;7;B C MINIMARKED;BELLA CENTER SERVICES A/S;CENTER BOULEVARD 5;DK;2300;KØBENHAVN S;32473051;5790000697991;OJE@BELLACENTER.DK
076902-6;19272796;25;7;OVE WRIST & CO A/S;OVE WRIST & CO A/S;STIGSBORGSVEJ 60;DK;9400;NØRRESUNDBY;98137277;5790000712137;CARI@WRIST.DK
037715-0;25169158;25;4;INTERVARE  RØDOVRE;INTERVARE A/S;VALHØJS ALLE 176;DK;2610;RØDOVRE;36868000;5790000824854;DISPONERING@INTERVARE.DK
502944-2;99999999;29;4;ADFONG;ADFONG;SKUTUVOGUR 7;IS;104;REYKJAVIK, ISLAND;5305600;5790000007226; 
202376-0;99999999;29;4;DE813241946 MOMSFRITAGET;SCHMIDT IM-UND EXPORT GMBH&CO;GEWERBESTRASSE 9;DE;25923;SUEDERLUEGUM GERMANY;66318480;5790000031603; 
202377-8;99999999;29;4;*DE813241946 MOMSFRITAGET;SCHMIDT IM-UND EXPORT GMBH&CO;GEWERBESTRASSE 9;DE;25923;SUEDERLUEGUM GERMANY;66318480;5790000826346;SMATTHIESEN@SCHMIDT-IM-EX.DE
050192-4;31869609;33;0;ABC LAVPRIS APS;V/ POVL ENEMARK;STOREGADE 90;DK;6670;HOLSTED;50876830;5790000011308;HOLSTED@ABC-LAVPRIS.DK
050191-6;27367380;33;0;ABC LAVPRIS APS;V/ ALLAN KNUDSEN;INDUSTRIVEJ 3;DK;6580;VAMDRUP;76929076;5790000012176;VAMDRUP@ABC-LAVPRIS.DK
050193-2;33244495;33;0;ABC LAVPRIS GLAMSBJERG;ABC SUPERLAVPRIS GLAMSBJ. APS;SØNDERGADE 70;DK;5620;GLAMSBJERG;50892650;5790000238941;GLAMSBJERG@ABC-LAVPRIS.DK
050194-0;33880677;33;0;ABC LAVPRIS APS;V/ NIKOLAJ MIKKELSEN;RÅDHUSGADE 14;DK;8740;BRÆDSTRUP;50892670;5790000240661;BRAEDSTRUP@ABC-LAVPRIS.DK
050180-9;15961538;33;0;ABC LAVPRIS APS;V/ MAGNUS CHRISTENSEN;HØGEVEJ 2;DK;6920;VIDEBÆK;97172318;5790000607594;VIDEBAEK@ABC-LAVPRIS.DK
050181-7;15387343;33;0;ABC LAVPRIS APS;V/ RENE V MARTINSEN;HARBOGADE 17;DK;6990;ULFBORG;97492612;5790000607600;ULFBORG@ABC-LAVPRIS.DK
050182-5;10587786;33;0;ABC LAVPRIS APS - HERNING;V/ UFFE JENSEN;OREBYGÅRDVEJ 1;DK;7400;HERNING;97268666;5790000607617;HERNING@ABC-LAVPRIS.DK
050183-3;78779411;33;0;ABC LAVPRIS APS;V/ THOMAS ANDERSEN;TORVEGADE 100;DK;7160;TØRRING;75802088;5790000607624;TORRING@ABC-LAVPRIS.DK
050184-1;10606276;33;0;ABC LAVPRIS APS;V/ THOMAS HENRIKSEN;ØSTERGADE 33;DK;6630;RØDDING;74841954;5790000607631;RODDING@ABC-LAVPRIS.DK
050185-8;38977512;33;0;ABC LAVPRIS APS;V/ BRIAN HANSEN;FABRIKSVEJ 7;DK;6510;GRAM;74823029;5790000607648;GRAM@ABC-LAVPRIS.DK
050186-6;16991139;33;0;ABC LAVPRIS APS;V/ BO HANSEN;BUEN 4;DK;7190;BILLUND;75332919;5790000607655;BILLUND@ABC-LAVPRIS.DK
050187-4;18369184;33;0;ABC LAVPRIS APS;V/ MORTEN MULBJERG;ÅBOULEVARDEN 70;DK;6880;TARM;97373922;5790000607662;TARM@ABC-LAVPRIS.DK
050188-2;15961538;33;0;ABC LAVPRIS APS;ABC HOVEDKONTOR;SMEDEVEJ 2;DK;6880;TARM;97354876;5790000607679;RONNI@ABC-LAVPRIS.DK
050190-8;25585275;33;0;ABC LAVPRIS APS;V/ PETER SØNDERBY;AFTENSANG 6;DK;6040;EGTVED;76640051;5790000824274;EGTVED@ABC-LAVPRIS.DK
035674-1;21633119;44;1;SUGRO SJÆLLAND(GENNEMFAK);CHOKOLAND STRUER A/S;GREVE MAIN 23;DK;2670;GREVE;55700503;5790000235889;SOEREN.DAHL.HEMMINGSEN@SUGRO.DK
201133-6;21633119;44;1;SUGRO SYD  (GENNEMFAK.);CHOKOLAND STRUER A/S;BUGATTIVEJ 18;DK;7100;VEJLE;73561666;5790000245161;JAN.NIELSEN@SUGRO.DK
201132-8;21633119;44;1;SUGRO NORD (GENNEMFAK.);CHOKOLAND STRUER A/S;KJELDSMARKSVEJ 3-9;DK;7600;STRUER;97851100;5790000245185;KENNETH.LARSEN@SUGRO.DK
201137-7;32940188;44;2;NØRGAARD CHOKOLADE;NØRGAARD CHOKOLADE RANDERS APS;AGERSKELLET 18;DK;8920;RANDERS NV;86421246;5790000245222;RDS@UNIGROS.DK
201141-9;21633119;44;2;SUGRO SYD(LAGERKØB);CHOKOLAND STRUER A/S;BUGATTIVEJ 18;DK;7100;VEJLE;73561666;5790000609086;JAN.NIELSEN@SUGRO.DK.
201140-1;21633119;44;2;SUGRO NORD (LAGERKØB);CHOKOLAND STRUER A/S;KJELDSMARKSVEJ 3-9;DK;7600;STRUER;97851100;5790000609109;KENNETH.LARSEN@SUGRO.DK
035677-4;21633119;44;2;SUGRO SJÆLLAND (LAGERKØB);CHOKOLAND STRUER A/S;GREVE MAIN 23;DK;2670;GREVE;55700503;5790000609116;SOEREN.DAHL.HEMMINGSEN@SUGRO.DK
201129-4;32940188;44;1;NØRGAARD CHOKOLADE GF;NØRGAARD CHOKOLADE RANDERS APS;AGERSKELLET 18;DK;8920;RANDERS NV;86421246;5790000662685;RDS@UNIGROS.DK
802500-9;53955711;44;1;HCH GRUPPEN;HCH GRUPPEN;PRIORSVEJ 31;DK;8600;SILKEBORG;87224100;5790000827947;FINANS@HCHGRUPPEN.DK
852226-0;26776635;44;1;HCH GRUPPEN;HCH GRUPPEN;ØLSGÅRDVEJ 1;DK;4180;SORØ;57861251;5790001096014;FINANS@HCHGRUPPEN.DK
502015-1;8015880;50;0;POUL HANSEN;P/F POUL HANSEN;POSTBOX 3016;FO;110;TORSHAVN, FÆRØERNE;98311161;5790000826032;E-FAKTPOH@PH.FO
072174-6;30326709;58;5;VEDERSØ KLIT CAMPING;BENTE GADEGAARD VAD;ØHUSEVEJ 23;DK;6990;ULFBORG;97495202;5790000003051;BENTEOGJORGEN@SOL.DK
072114-2;13688389;58;1;LETKØB KRARUP;ASGER OG BIRGIT ENGBJERG;BØJDENVEJ 60  -  KRARUP;DK;5750;RINGE;62271317;5790000003921;LETKOEB.KRARUP@GMAIL.COM
072064-9;28430388;58;1;RINDBY SUPERMARKED;KRISTIAN NØRBY SØRENSEN;KIRKEVEJEN 32  -  RINDBY;DK;6720;FANØ;75163546;5790000003969;RINDBYSUPERMARKED@GMAIL.COM
072017-7;32443966;58;5;DAYS SØHØJLANDET;DAYS ATTRAKTION & SERVICE APS;LILLE AMERIKA 10;DK;8883;GJERN;70250333;5790000005123;BOGHOLDERI@DANPARCS.COM
051990-0;31511879;58;4;SKAVEN STRAND CAMPING;HANNE & PETER SØRENSEN;SKAVENVEJ 32;DK;6880;TARM;97374069;5790000005291;INFO@SKAVEN.DK
050330-0;31980577;58;1;DØSTRUP LETKØB;LENE NØRGÅRD CHRISTENSEN;DØSTRUPVEJ 151 - DØSTRUP;DK;9500;HOBRO;98557001;5790000005352;LENE1959@HOTMAIL.COM
072120-9;29333424;58;5;SKOVMOSE SUPERMARKED;PATHMASOTHY PARAMALINGAM;EGEMOSE 2;DK;6470;SYDALS;74404848;5790000005680;SKOVMOSESUPERMARKED@GMAIL.COM
052253-2;61394613;58;4;BAGERGÅRDENS MINIMARKED.;BAGERGÅRDENS MINIMARKED APS.;STRANDVEJEN 11;DK;8300;ODDER;86558205;5790000005994;BGMINIMARKED@MAIL.DK
201235-9;66021815;58;3;MIN BUTIK;MIN BUTIK APS / ELI LARSEN;INDUSTRIPARKEN 3 SKRYDSTRUP;DK;6500;VOJENS;74542914;5790000006052;ELI@VINGROTTEN.DK
